title,description
Brokeback Mountain,"Drama, Romance. gay, countryside, homophobia, loss of lover, wyoming, rodeo, father murder, horseback riding, intolerance, daughter, marriage crisis, secret love, cowboy, star crossed lovers. Brokeback Mountain is an Ang Lee film about two modern day cowboys who meet on a shepherding job in the summer of ’63. The two share a raw and powerful summer together that turns into a life long relationship conflicting with the lives they are supposed to live."
"Lock, Stock and Two Smoking Barrels","Comedy, Crime. ambush, alcohol, shotgun, tea, joint, machismo, cocktail, rifle, marijuana, cockney accent, pot smoking, hatchet, antique, cardsharp, anger, carjacking, piano, strip show, high stakes. A card sharp and his unwillingly-enlisted friends need to make a lot of cash quick after losing a sketchy poker match. To do this they decide to pull a heist on a small-time gang who happen to be operating out of the flat next door."
Little Miss Sunshine,"Comedy, Drama. california, brother sister relationship, wife husband relationship, oscar award, highway, professor for literature, beauty contest, beauty queen contest, road trip, family relationships, family holiday, road movie, woman director, beauty pageant. A family loaded with quirky, colorful characters piles into an old van and road trips to California for little Olive to compete in a beauty pageant."
A Walk to Remember,"Drama, Romance. based on novel, theatre group, north carolina, theatre milieu, high school, cancer, coming of age, tragic love, teenager, star crossed lovers. When the popular, restless Landon Carter is forced to participate in the school drama production he falls in love with Jamie Sullivan, the daughter of the town's minister. Jamie has a ""to-do"" list for her life and also a very big secret she must keep from Landon."
Edward Scissorhands,"Fantasy, Drama, Romance. underdog, love at first sight, hairdresser, small town, scissors, inventor, burglar, unsociability. A small suburban town receives a visit from a castaway unfinished science experiment named Edward."
Harry Potter and the Philosopher's Stone,"Adventure, Fantasy, Family. witch, christmas party, magic, cutting the cord, halloween, child hero, broom, chosen one, frog, fantasy world, based on young adult novel. Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard -- with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths -- and about the villain who's to blame."
"Monsters, Inc.","Animation, Comedy, Family. monster, infant, energy supply, company, rivalry, hijinks, best friend, scream, conveyor belt, energy company, friend. James Sullivan and Mike Wazowski are monsters, they earn their living scaring children and are the best in the business... even though they're more afraid of the children than they are of them. When a child accidentally enters their world, James and Mike suddenly find that kids are not to be afraid of and they uncover a conspiracy that could threaten all children across the world."
The Game,"Drama, Thriller, Mystery. brother brother relationship, birthday, danger of life, birthday party, surprising. In honor of his birthday, San Francisco banker Nicholas Van Orton, a financial genius and a coldhearted loner, receives an unusual present from his younger brother, Conrad -- a gift certificate to play a unique kind of game. In nearly a nanosecond, Nicholas finds himself consumed by a dangerous set of ever-changing rules, unable to distinguish where the charade ends and reality begins."
Platoon,"Drama, War, Action. famous score, hero, mine, vietnam war, village, gore, jungle, f word, soldier, battle, combat, 1960s. As a young and naive recruit in Vietnam, Chris Taylor faces a moral crisis when confronted with the horrors of war and the duality of man."
Star Wars: The Force Awakens,"Action, Adventure, Science Fiction, Fantasy. android, spaceship, jedi, imax, space opera, 3d. Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers."
Titanic,"Drama, Romance, Thriller. shipwreck, iceberg, ship, panic, titanic, ocean liner, epic, rich woman - poor man, love, disaster, tragic love, class differences, imax, star crossed lovers, steerage, salvage, rich snob, 3d, 1910s. 84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning."
Halloween,"Horror, Thriller. female nudity, nudity, mask, babysitter, halloween, police, psychopathic killer, independent film, stalking, serial killer, marijuana, masked killer, blood, pot smoking, slasher, murderer, throat slitting, maniac, violence, killing spree, family, cult film, evil, psychotic, smoking pot, institution, escaped killer. In John Carpenter's horror classic, a psychotic murderer, institutionalized since childhood for the murder of his sister, escapes and stalks a bookish teenage girl and her friends while his doctor chases him through the streets."
Tangled,"Animation, Family. hostage, magic, horse, fairy tale, musical, princess, animation, tower, blonde woman, selfishness, healing power, based on fairy tale, duringcreditsstinger, healing gift, animal sidekick. When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs."
Star Trek,"Science Fiction, Action, Adventure. spacecraft, teleportation, space mission, parachute, time travel, black hole, supernova, prequel, warp speed, futuristic, warp engine, romulans, outer space, vulcan, alternate reality, space opera, reboot. The fate of the galaxy rests in the hands of bitter rivals. One, James Kirk, is a delinquent, thrill-seeking Iowa farm boy. The other, Spock, a Vulcan, was raised in a logic-based society that rejects all emotion. As fiery instinct clashes with calm reason, their unlikely but powerful partnership is the only thing capable of leading their crew through unimaginable danger, boldly going where no one has gone before. The human adventure has begun again."
